mesh,component,quantity,baseline_surface_order,comparison_surface_order,surface_q3_L2,comparison_L2,absolute_change,relative_change
iv40,rhoE,total_rhs,3,5,0.026787796198415523,0.026787879278105577,8.307969005458271e-08,3.101400706473356e-06
iv80,rho,jump_quadrature,3,5,0.0001354589612695906,0.00013546087843145245,1.9171618618541494e-09,1.415308255636738e-05
iv80,rhou,jump_quadrature,3,5,0.0002813281904072618,0.00028133224313119906,4.052723937258279e-09,1.4405680182294489e-05
iv80,rhov,jump_quadrature,3,5,0.00027979791495456776,0.0002798019062190709,3.991264503145145e-09,1.4264811457831428e-05
iv80,rhow,jump_quadrature,3,5,0.0,0.0,0.0,
iv80,rhoE,jump_quadrature,3,5,0.0008155834718772848,0.0008155949998093166,1.1527932031814465e-08,1.413458269983181e-05
iv80,rho,jump_face,3,5,0.00013176606093433813,0.00013176606093433807,-5.421010862427522e-20,-4.440892098500626e-16
iv80,rhou,jump_face,3,5,0.0002732027906426907,0.0002732027906426907,0.0,0.0
iv80,rhov,jump_face,3,5,0.00027193738334036833,0.00027193738334036833,0.0,0.0
iv80,rhow,jump_face,3,5,0.0,0.0,0.0,
iv80,rhoE,jump_face,3,5,0.0007935779733831136,0.0007935779733831136,0.0,0.0
iv80,rho,roe_quadrature,3,5,0.00011173980131866322,0.00011174237716978263,2.5758511194108385e-09,2.305222569765064e-05
iv80,rhou,roe_quadrature,3,5,0.00023364046169888742,0.00023364579221950082,5.33052061339875e-09,2.2815057694414165e-05
iv80,rhov,roe_quadrature,3,5,0.00023369253266158368,0.0002336978388116096,5.306150025927939e-09,2.2705689246782512e-05
iv80,rhow,roe_quadrature,3,5,4.0254391058985306e-17,4.024925885236557e-17,-5.132206619733134e-21,
iv80,rhoE,roe_quadrature,3,5,0.0007416650058619877,0.000741682869305692,1.7863443704281556e-08,2.40855960078612e-05
iv80,rho,roe_face,3,5,0.0001083637664979729,0.0001083638053051748,3.880720190454958e-11,3.5811972165511463e-07
iv80,rhou,roe_face,3,5,0.00022780071627136121,0.000227800752334261,3.606289979097774e-11,1.583089832557505e-07
iv80,rhov,roe_face,3,5,0.0002279903823593752,0.00022799039105761721,8.698242023571015e-12,3.815179372423927e-08
iv80,rhow,roe_face,3,5,7.259714664152824e-18,5.7198441732576e-18,-1.5398704908952235e-18,
iv80,rhoE,roe_face,3,5,0.000721926767585785,0.0007219268753949985,1.0780921348794298e-10,1.4933538738937102e-07
iv80,rho,central_rhs,3,5,0.00035703941769581416,0.0003570394176958225,8.348356728138384e-18,2.3314683517128287e-14
iv80,rhou,central_rhs,3,5,0.0006901724987663565,0.000690172469035663,-2.973069349303942e-11,-4.307719236873453e-08
iv80,rhov,central_rhs,3,5,0.00078071859971118,0.0007807185820868335,-1.7624346535134727e-11,-2.2574518587781256e-08
iv80,rhow,central_rhs,3,5,2.2622230332698195e-06,2.2622382797299143e-06,1.524646009478029e-11,6.739591928095479e-06
iv80,rhoE,central_rhs,3,5,0.0023594545644010055,0.002359454513691494,-5.070951167654436e-11,-2.1492048363214167e-08
iv80,rho,roe_rhs,3,5,0.000530344835801623,0.0005303442293778681,-6.064237548534732e-10,-1.1434517956931955e-06
iv80,rhou,roe_rhs,3,5,0.0011853238520954416,0.0011853238739367644,2.184132280418083e-11,1.8426460135501088e-08
iv80,rhov,roe_rhs,3,5,0.001181366574587924,0.0011813667252276567,1.5063973267566422e-10,1.2751311562197998e-07
iv80,rhow,roe_rhs,3,5,1.2979337085383065e-16,9.65465913758025e-17,-3.324677947802814e-17,
iv80,rhoE,roe_rhs,3,5,0.003772190402928128,0.0037721904427278673,3.9799739458973304e-11,1.0550829987465704e-08
iv80,rho,total_rhs,3,5,0.0006346551174756475,0.0006346541438400896,-9.736355579192599e-10,-1.5341175563232667e-06
iv80,rhou,total_rhs,3,5,0.00137732490963677,0.0013773245266883011,-3.829484689424345e-10,-2.7803785895841315e-07
iv80,rhov,total_rhs,3,5,0.0013795291252897005,0.0013795294248600046,2.995703041099723e-10,2.1715402631627967e-07
iv80,rhow,total_rhs,3,5,2.2622230332704057e-06,2.2622382797300176e-06,1.524645961197151e-11,6.739591714710613e-06
iv80,rhoE,total_rhs,3,5,0.0043789985489903855,0.00437899809068408,-4.5830630523296945e-10,-1.0466007238640884e-07
iv80,rho,jump_quadrature,3,7,0.0001354589612695906,0.0001354608784314524,1.9171618617999393e-09,1.4153082555923291e-05
iv80,rhou,jump_quadrature,3,7,0.0002813281904072618,0.0002813322431311991,4.052723937312489e-09,1.4405680182516534e-05
iv80,rhov,jump_quadrature,3,7,0.00027979791495456776,0.0002798019062190708,3.991264503036725e-09,1.4264811457609383e-05
iv80,rhow,jump_quadrature,3,7,0.0,0.0,0.0,
iv80,rhoE,jump_quadrature,3,7,0.0008155834718772848,0.0008155949998093167,1.1527932031922886e-08,1.413458269983181e-05
iv80,rho,jump_face,3,7,0.00013176606093433813,0.00013176606093433813,0.0,0.0
iv80,rhou,jump_face,3,7,0.0002732027906426907,0.00027320279064269086,1.6263032587282567e-19,6.661338147750939e-16
iv80,rhov,jump_face,3,7,0.00027193738334036833,0.0002719373833403683,-5.421010862427522e-20,-2.220446049250313e-16
