mode,mesh,nodes,region,variables,component,quantity,L1,L2,Linf
efficient,10,745,boundary,primitive,v,gradient,1.2618757599984533e-16,1.526717546679274e-16,6.293848530890504e-16
efficient,10,745,boundary,primitive,v,value,3.924352676495157e-17,5.161128044778899e-17,2.1906304895069617e-16
efficient,10,745,boundary,primitive,w,dx,2.2385786871841385e-17,3.8621207686813206e-17,2.309188632342962e-16
efficient,10,745,boundary,primitive,w,dy,2.6772376551625068e-17,4.936372301977682e-17,3.432097034144436e-16
efficient,10,745,boundary,primitive,w,dz,4.179103421156998e-17,5.97594864292829e-17,2.611586806051036e-16
efficient,10,745,boundary,primitive,w,gradient,6.94492454239307e-17,8.660006380975046e-17,3.8360009918682896e-16
efficient,10,745,boundary,primitive,w,value,2.2180114012377253e-17,2.9654767008295636e-17,1.3044307387716225e-16
efficient,10,745,interior,conservative,rho,dx,1.2334021564143553e-16,1.6229657796172975e-16,6.216290096604585e-16
efficient,10,745,interior,conservative,rho,dy,1.2036819414851066e-16,1.742951269506819e-16,1.0334733692744444e-15
efficient,10,745,interior,conservative,rho,dz,1.4569512370822463e-16,1.998316258912647e-16,7.526971938526944e-16
efficient,10,745,interior,conservative,rho,gradient,2.70575731483202e-16,3.1088848354866493e-16,1.172132555049793e-15
efficient,10,745,interior,conservative,rho,mean,4.0689392848336075e-16,5.274210600716887e-16,1.7069679003611782e-15
efficient,10,745,interior,conservative,rho,value,1.6120528195507202e-16,2.2503720985381723e-16,1.2234137314326432e-15
efficient,10,745,interior,conservative,rhoE,dx,3.671217232309769e-16,4.903804921870403e-16,2.285626928607426e-15
efficient,10,745,interior,conservative,rhoE,dy,3.777890427461701e-16,4.828893145784442e-16,2.0910939538092144e-15
efficient,10,745,interior,conservative,rhoE,dz,4.799991278115609e-16,6.117203896122234e-16,2.2819508056163423e-15
efficient,10,745,interior,conservative,rhoE,gradient,8.279733958564692e-16,9.207914814543921e-16,2.5860095479959916e-15
efficient,10,745,interior,conservative,rhoE,mean,1.2310491700422692e-15,1.5571889574933574e-15,5.067560954197248e-15
efficient,10,745,interior,conservative,rhoE,value,1.4629340433577692e-15,1.8496833942104807e-15,6.450569245419757e-15
efficient,10,745,interior,conservative,rhou,dx,3.5191809092339224e-17,4.679384556335455e-17,2.33504960701382e-16
efficient,10,745,interior,conservative,rhou,dy,3.496160023720719e-17,4.3806130695668795e-17,1.3879905390182593e-16
efficient,10,745,interior,conservative,rhou,dz,4.2984730181292904e-17,5.471704281896199e-17,1.723629461950144e-16
efficient,10,745,interior,conservative,rhou,gradient,7.625905230304704e-17,8.427689982424135e-17,2.4901874009251946e-16
efficient,10,745,interior,conservative,rhou,mean,1.2405156395703978e-16,1.5099320306099245e-16,4.973235365191009e-16
efficient,10,745,interior,conservative,rhou,value,5.775347854681822e-17,7.259456211677469e-17,3.073713158996405e-16
efficient,10,745,interior,conservative,rhov,dx,1.7541196075785318e-17,2.354505782041304e-17,1.0586641291257873e-16
efficient,10,745,interior,conservative,rhov,dy,1.785090616825764e-17,2.3193764968697892e-17,7.318703477456057e-17
efficient,10,745,interior,conservative,rhov,dz,2.4773703459341724e-17,3.211803271258358e-17,1.0358027098793937e-16
efficient,10,745,interior,conservative,rhov,gradient,4.0940228362208035e-17,4.608566487006973e-17,1.1968279776760804e-16
efficient,10,745,interior,conservative,rhov,mean,6.643647012175609e-17,8.308314571433627e-17,2.5400146395904155e-16
efficient,10,745,interior,conservative,rhov,value,2.959341743249657e-17,3.8110870558629997e-17,1.3002294553532412e-16
efficient,10,745,interior,conservative,rhow,dx,1.3879202896223785e-17,1.7917852651599435e-17,6.623162372818188e-17
efficient,10,745,interior,conservative,rhow,dy,1.2525099423379633e-17,1.6347029109423032e-17,7.015587443325185e-17
efficient,10,745,interior,conservative,rhow,dz,1.506182770319656e-17,1.9189037765210224e-17,7.087463482855633e-17
efficient,10,745,interior,conservative,rhow,gradient,2.8032947127171525e-17,3.092723677769187e-17,7.670375876904608e-17
efficient,10,745,interior,conservative,rhow,mean,3.2467605470093393e-17,4.015477619525386e-17,1.330722641454396e-16
efficient,10,745,interior,conservative,rhow,value,1.6064415117326798e-17,2.1175763215112122e-17,7.517586813471366e-17
efficient,10,745,interior,primitive,p,dx,1.4723810908282764e-16,1.9631190928001275e-16,8.777937957667875e-16
efficient,10,745,interior,primitive,p,dy,1.5044851751829204e-16,1.925130526895812e-16,8.510826117751231e-16
efficient,10,745,interior,primitive,p,dz,1.9261504750919005e-16,2.452800404826641e-16,9.096795040332284e-16
efficient,10,745,interior,primitive,p,gradient,3.3137678861178754e-16,3.684588707579216e-16,1.0067338690533758e-15
efficient,10,745,interior,primitive,p,value,5.88160768148974e-16,7.371944638789901e-16,2.515891141252613e-15
efficient,10,745,interior,primitive,rho,dx,1.2334021564143553e-16,1.6229657796172975e-16,6.216290096604585e-16
efficient,10,745,interior,primitive,rho,dy,1.2036819414851066e-16,1.742951269506819e-16,1.0334733692744444e-15
efficient,10,745,interior,primitive,rho,dz,1.4569512370822463e-16,1.998316258912647e-16,7.526971938526944e-16
efficient,10,745,interior,primitive,rho,gradient,2.70575731483202e-16,3.1088848354866493e-16,1.172132555049793e-15
efficient,10,745,interior,primitive,rho,value,1.6120528195507202e-16,2.2503720985381723e-16,1.2234137314326432e-15
efficient,10,745,interior,primitive,u,dx,2.5734336302637776e-17,3.337556710848521e-17,1.488664639964169e-16
efficient,10,745,interior,primitive,u,dy,2.6938034124696573e-17,3.525330953685955e-17,1.2075005234525767e-16
efficient,10,745,interior,primitive,u,dz,3.0535804975761265e-17,4.043262382560782e-17,1.3798865512954037e-16
efficient,10,745,interior,primitive,u,gradient,5.646031521742121e-17,6.317848828943077e-17,1.6692523264346664e-16
efficient,10,745,interior,primitive,u,value,4.2150647120145335e-17,5.3835064190081647e-17,2.0572736222912447e-16
efficient,10,745,interior,primitive,v,dx,1.507583152984114e-17,1.9510140904921235e-17,6.43429520140416e-17
efficient,10,745,interior,primitive,v,dy,1.4687922242599542e-17,1.9828142969158508e-17,1.1861743514230815e-16
efficient,10,745,interior,primitive,v,dz,1.7914655496394556e-17,2.3617110086959948e-17,8.417220506750159e-17
efficient,10,745,interior,primitive,v,gradient,3.2632154267464337e-17,3.6490666486032513e-17,1.2936020388220304e-16
efficient,10,745,interior,primitive,v,value,2.2711378624199247e-17,2.9050500882487966e-17,1.131364966988624e-16
efficient,10,745,interior,primitive,w,dx,9.043004523375078e-18,1.1853180796730212e-17,4.835557571153111e-17
efficient,10,745,interior,primitive,w,dy,8.486465830973797e-18,1.1397464781981484e-17,4.486733521606029e-17
efficient,10,745,interior,primitive,w,dz,1.0838792114577425e-17,1.4326466239685007e-17,5.169738538624534e-17
efficient,10,745,interior,primitive,w,gradient,1.9324452894278854e-17,2.180934967790916e-17,5.771337661947972e-17
efficient,10,745,interior,primitive,w,value,1.2046775863251949e-17,1.575165776105874e-17,6.12370939546969e-17
efficient,20,4752,all,conservative,rho,dx,2.683881730246692e-16,5.746298648290418e-16,9.101951776915168e-15
efficient,20,4752,all,conservative,rho,dy,2.9450829643465793e-16,5.907461413178058e-16,7.717893164838063e-15
efficient,20,4752,all,conservative,rho,dz,4.4307160222963264e-16,8.628121529857732e-16,9.50950337355247e-15
efficient,20,4752,all,conservative,rho,gradient,7.326904309373321e-16,1.193157699709164e-15,1.1879866392759017e-14
efficient,20,4752,all,conservative,rho,mean,3.9960457857746e-16,5.192045876229491e-16,2.2369259222720927e-15
efficient,20,4752,all,conservative,rho,value,1.9377622229878336e-16,2.6672867450142106e-16,2.297424403496784e-15
efficient,20,4752,all,conservative,rhoE,dx,9.072206196694139e-16,1.798833560063593e-15,2.8371020861257942e-14
efficient,20,4752,all,conservative,rhoE,dy,9.636884677832172e-16,1.8570307476507036e-15,2.4970955648563348e-14
efficient,20,4752,all,conservative,rhoE,dz,1.2199945025385829e-15,2.302050278589539e-15,2.3747232750104957e-14
efficient,20,4752,all,conservative,rhoE,gradient,2.2407000306744204e-15,3.4617626810174846e-15,3.5128703948635276e-14
efficient,20,4752,all,conservative,rhoE,mean,1.219980105680594e-15,1.516736664338839e-15,5.343815667746554e-15
efficient,20,4752,all,conservative,rhoE,value,1.3882055665746432e-15,1.7501857106095102e-15,7.703473275944006e-15
efficient,20,4752,all,conservative,rhou,dx,9.379196519703105e-17,1.907009484413522e-16,2.4665171672406862e-15
efficient,20,4752,all,conservative,rhou,dy,9.107038437272931e-17,1.8574342010939402e-16,2.816172791383735e-15
efficient,20,4752,all,conservative,rhou,dz,1.3070727465306485e-16,2.5037261280734113e-16,2.4586359491829586e-15
efficient,20,4752,all,conservative,rhou,gradient,2.3122182863642735e-16,3.6545029086640633e-16,3.420404977286758e-15
efficient,20,4752,all,conservative,rhou,mean,1.2396217755526915e-16,1.5584416097845556e-16,6.150678924510267e-16
efficient,20,4752,all,conservative,rhou,value,6.499848279908992e-17,8.461678813523219e-17,6.985514597324105e-16
efficient,20,4752,all,conservative,rhov,dx,5.3186550284780876e-17,9.975765618801603e-17,1.2314760027828464e-15
efficient,20,4752,all,conservative,rhov,dy,4.944673037613835e-17,1.0019396785140664e-16,1.6500273810314287e-15
efficient,20,4752,all,conservative,rhov,dz,6.963920410459529e-17,1.2928705266921694e-16,1.246598717264888e-15
efficient,20,4752,all,conservative,rhov,gradient,1.2517072475947433e-16,1.9158695975934272e-16,1.837885289899529e-15
efficient,20,4752,all,conservative,rhov,mean,6.208133077090866e-17,7.801855239388383e-17,2.8918382445619617e-16
efficient,20,4752,all,conservative,rhov,value,3.3249954638785565e-17,4.3632210419023594e-17,3.067750047047735e-16
efficient,20,4752,all,conservative,rhow,dx,3.1156782165256487e-17,6.037972035675599e-17,1.2609351734136406e-15
efficient,20,4752,all,conservative,rhow,dy,3.147844075161962e-17,6.486287033884197e-17,9.982012232848808e-16
efficient,20,4752,all,conservative,rhow,dz,4.118605698995082e-17,7.83322688175089e-17,8.79657268250747e-16
efficient,20,4752,all,conservative,rhow,gradient,7.534226554734689e-17,1.182744558941277e-16,1.3588106815085061e-15
efficient,20,4752,all,conservative,rhow,mean,3.186601885346218e-17,3.984911026187435e-17,1.7751100069018921e-16
efficient,20,4752,all,conservative,rhow,value,1.8452745302261585e-17,2.4884137705260102e-17,2.2754693095039524e-16
efficient,20,4752,all,primitive,p,dx,3.6370366944712827e-16,7.219594861630919e-16,1.1475933771041874e-14
efficient,20,4752,all,primitive,p,dy,3.8718465142508256e-16,7.471978049721834e-16,9.986519718677622e-15
efficient,20,4752,all,primitive,p,dz,4.888739795325892e-16,9.21664259697473e-16,9.493506309310625e-15
efficient,20,4752,all,primitive,p,gradient,8.98801789987019e-16,1.3888826685576494e-15,1.3953827263702222e-14
efficient,20,4752,all,primitive,p,value,5.678603604690397e-16,7.1619397900095e-16,3.1628345775747135e-15
efficient,20,4752,all,primitive,rho,dx,2.683881730246692e-16,5.746298648290418e-16,9.101951776915168e-15
efficient,20,4752,all,primitive,rho,dy,2.9450829643465793e-16,5.907461413178058e-16,7.717893164838063e-15
efficient,20,4752,all,primitive,rho,dz,4.4307160222963264e-16,8.628121529857732e-16,9.50950337355247e-15
efficient,20,4752,all,primitive,rho,gradient,7.326904309373321e-16,1.193157699709164e-15,1.1879866392759017e-14
efficient,20,4752,all,primitive,rho,value,1.9377622229878336e-16,2.6672867450142106e-16,2.297424403496784e-15
efficient,20,4752,all,primitive,u,dx,6.165937049856707e-17,1.2476810659298348e-16,1.4919640450519614e-15
efficient,20,4752,all,primitive,u,dy,6.181642527681815e-17,1.1852882046488075e-16,1.2483622398610714e-15
efficient,20,4752,all,primitive,u,dz,9.007293914729988e-17,1.7303694537744535e-16,1.7002319767272568e-15
efficient,20,4752,all,primitive,u,gradient,1.5565400651589143e-16,2.4404496751449523e-16,2.037177785602247e-15
efficient,20,4752,all,primitive,u,value,4.4004500701175605e-17,5.74719812568268e-17,3.294890402183448e-16
efficient,20,4752,all,primitive,v,dx,3.67067650240642e-17,7.012420538483428e-17,1.0047160713195689e-15
efficient,20,4752,all,primitive,v,dy,3.760562354795116e-17,7.415774069803765e-17,1.1493284182175195e-15
efficient,20,4752,all,primitive,v,dz,5.51724116224262e-17,1.0520529562595716e-16,1.0849708548851377e-15
efficient,20,4752,all,primitive,v,gradient,9.435682490077391e-17,1.465773820002147e-16,1.3853165698664246e-15
efficient,20,4752,all,primitive,v,value,2.5711713912848497e-17,3.385501396635582e-17,2.428477341095969e-16
efficient,20,4752,all,primitive,w,dx,2.0546161677477303e-17,4.112294608031113e-17,6.672874736492543e-16
efficient,20,4752,all,primitive,w,dy,2.144237350485693e-17,4.281653015980992e-17,7.0099642033466e-16
